question,answer,category,confidence
How to reduce device time?,1. Set daily limits (2-3 hours max). 2. Enable grayscale mode. 3. Schedule tech-free hours. 4. Use app blockers. 5. Find offline hobbies. 6. Practice Pomodoro technique.,screentime,0.92
How to reduce phone time?,1. Set daily limits (2-3 hours max). 2. Enable grayscale mode. 3. Schedule tech-free hours. 4. Use app blockers. 5. Find offline hobbies. 6. Practice Pomodoro technique.,screentime,0.92
How to reduce screen usage?,1. Set daily limits (2-3 hours max). 2. Enable grayscale mode. 3. Schedule tech-free hours. 4. Use app blockers. 5. Find offline hobbies. 6. Practice Pomodoro technique.,screentime,0.92
How to reduce screen hours?,1. Set daily limits (2-3 hours max). 2. Enable grayscale mode. 3. Schedule tech-free hours. 4. Use app blockers. 5. Find offline hobbies. 6. Practice Pomodoro technique.,screentime,0.92
What is the best way to to reduce screen time?,1. Set daily limits (2-3 hours max). 2. Enable grayscale mode. 3. Schedule tech-free hours. 4. Use app blockers. 5. Find offline hobbies. 6. Practice Pomodoro technique.,screentime,0.92
Can you explain how to to reduce screen time?,1. Set daily limits (2-3 hours max). 2. Enable grayscale mode. 3. Schedule tech-free hours. 4. Use app blockers. 5. Find offline hobbies. 6. Practice Pomodoro technique.,screentime,0.92
How to reduce screen time,1. Set daily limits (2-3 hours max). 2. Enable grayscale mode. 3. Schedule tech-free hours. 4. Use app blockers. 5. Find offline hobbies. 6. Practice Pomodoro technique.,screentime,0.92
What is healthy screen time?,Healthy limits: Adults ≤4h/day non-work. Teens ≤2h/day. Children ≤1h/day (2-5 years). Work: Take 5-min break every 25 mins. Follow 20-20-20 rule for eye health.,screentime,0.89
What is healthy device time?,Healthy limits: Adults ≤4h/day non-work. Teens ≤2h/day. Children ≤1h/day (2-5 years). Work: Take 5-min break every 25 mins. Follow 20-20-20 rule for eye health.,screentime,0.89
What is healthy phone time?,Healthy limits: Adults ≤4h/day non-work. Teens ≤2h/day. Children ≤1h/day (2-5 years). Work: Take 5-min break every 25 mins. Follow 20-20-20 rule for eye health.,screentime,0.89
What is healthy screen usage?,Healthy limits: Adults ≤4h/day non-work. Teens ≤2h/day. Children ≤1h/day (2-5 years). Work: Take 5-min break every 25 mins. Follow 20-20-20 rule for eye health.,screentime,0.89
What is healthy screen hours?,Healthy limits: Adults ≤4h/day non-work. Teens ≤2h/day. Children ≤1h/day (2-5 years). Work: Take 5-min break every 25 mins. Follow 20-20-20 rule for eye health.,screentime,0.89
Can you tell me what is healthy screen time?,Healthy limits: Adults ≤4h/day non-work. Teens ≤2h/day. Children ≤1h/day (2-5 years). Work: Take 5-min break every 25 mins. Follow 20-20-20 rule for eye health.,screentime,0.89
What is healthy screen time,Healthy limits: Adults ≤4h/day non-work. Teens ≤2h/day. Children ≤1h/day (2-5 years). Work: Take 5-min break every 25 mins. Follow 20-20-20 rule for eye health.,screentime,0.89
Tell me about what is healthy screen time,Healthy limits: Adults ≤4h/day non-work. Teens ≤2h/day. Children ≤1h/day (2-5 years). Work: Take 5-min break every 25 mins. Follow 20-20-20 rule for eye health.,screentime,0.89
Digital stress management techniques?,"1. Mindfulness meditation (Headspace, Calm). 2. Digital sabbaths (weekly breaks). 3. Notification management. 4. Breathing exercises (4-7-8 technique). 5. Physical activity (30 mins daily).",stress,0.91
Digital anxiety management techniques?,"1. Mindfulness meditation (Headspace, Calm). 2. Digital sabbaths (weekly breaks). 3. Notification management. 4. Breathing exercises (4-7-8 technique). 5. Physical activity (30 mins daily).",stress,0.91
Digital pressure management techniques?,"1. Mindfulness meditation (Headspace, Calm). 2. Digital sabbaths (weekly breaks). 3. Notification management. 4. Breathing exercises (4-7-8 technique). 5. Physical activity (30 mins daily).",stress,0.91
Digital stress management techniques,"1. Mindfulness meditation (Headspace, Calm). 2. Digital sabbaths (weekly breaks). 3. Notification management. 4. Breathing exercises (4-7-8 technique). 5. Physical activity (30 mins daily).",stress,0.91
Tell me about digital stress management techniques,"1. Mindfulness meditation (Headspace, Calm). 2. Digital sabbaths (weekly breaks). 3. Notification management. 4. Breathing exercises (4-7-8 technique). 5. Physical activity (30 mins daily).",stress,0.91
How does technology affect mental health?,"Technology can: 1. Increase anxiety (FOMO, comparison). 2. Disrupt sleep (blue light). 3. Reduce attention span. 4. Cause digital eye strain. 5. Impact real-world relationships.",mental_health,0.87
What is the best way to does technology affect mental health?,"Technology can: 1. Increase anxiety (FOMO, comparison). 2. Disrupt sleep (blue light). 3. Reduce attention span. 4. Cause digital eye strain. 5. Impact real-world relationships.",mental_health,0.87
Can you explain how to does technology affect mental health?,"Technology can: 1. Increase anxiety (FOMO, comparison). 2. Disrupt sleep (blue light). 3. Reduce attention span. 4. Cause digital eye strain. 5. Impact real-world relationships.",mental_health,0.87
How does technology affect mental health,"Technology can: 1. Increase anxiety (FOMO, comparison). 2. Disrupt sleep (blue light). 3. Reduce attention span. 4. Cause digital eye strain. 5. Impact real-world relationships.",mental_health,0.87
What recommendations do you have?,Personalized recommendations based on: 1. Your assessment score. 2. Screen time patterns. 3. Psychological factors. 4. Behavioral data. 5. Historical trends.,recommendation,0.9
What suggestions do you have?,Personalized recommendations based on: 1. Your assessment score. 2. Screen time patterns. 3. Psychological factors. 4. Behavioral data. 5. Historical trends.,recommendation,0.9
What advices do you have?,Personalized recommendations based on: 1. Your assessment score. 2. Screen time patterns. 3. Psychological factors. 4. Behavioral data. 5. Historical trends.,recommendation,0.9
Can you tell me what recommendations do you have?,Personalized recommendations based on: 1. Your assessment score. 2. Screen time patterns. 3. Psychological factors. 4. Behavioral data. 5. Historical trends.,recommendation,0.9
What recommendations do you have,Personalized recommendations based on: 1. Your assessment score. 2. Screen time patterns. 3. Psychological factors. 4. Behavioral data. 5. Historical trends.,recommendation,0.9
Tell me about what recommendations do you have,Personalized recommendations based on: 1. Your assessment score. 2. Screen time patterns. 3. Psychological factors. 4. Behavioral data. 5. Historical trends.,recommendation,0.9
What are future predictions?,"Future predictions forecast your digital addiction risk trend using machine learning. Based on historical data, predicts if risk is increasing, stable, or decreasing over next 3 months.",prediction,0.93
What are future forecasts?,"Future predictions forecast your digital addiction risk trend using machine learning. Based on historical data, predicts if risk is increasing, stable, or decreasing over next 3 months.",prediction,0.93
What are future projections?,"Future predictions forecast your digital addiction risk trend using machine learning. Based on historical data, predicts if risk is increasing, stable, or decreasing over next 3 months.",prediction,0.93
Can you tell me what are future predictions?,"Future predictions forecast your digital addiction risk trend using machine learning. Based on historical data, predicts if risk is increasing, stable, or decreasing over next 3 months.",prediction,0.93
What are future predictions,"Future predictions forecast your digital addiction risk trend using machine learning. Based on historical data, predicts if risk is increasing, stable, or decreasing over next 3 months.",prediction,0.93
Tell me about what are future predictions,"Future predictions forecast your digital addiction risk trend using machine learning. Based on historical data, predicts if risk is increasing, stable, or decreasing over next 3 months.",prediction,0.93
How accurate are predictions?,"Predictions use time-series analysis on your assessment history. Accuracy improves with more historical data. Based on trend analysis, not absolute certainty.",prediction,0.85
How accurate are forecasts?,"Predictions use time-series analysis on your assessment history. Accuracy improves with more historical data. Based on trend analysis, not absolute certainty.",prediction,0.85
How accurate are projections?,"Predictions use time-series analysis on your assessment history. Accuracy improves with more historical data. Based on trend analysis, not absolute certainty.",prediction,0.85
What is the best way to accurate are predictions?,"Predictions use time-series analysis on your assessment history. Accuracy improves with more historical data. Based on trend analysis, not absolute certainty.",prediction,0.85
Can you explain how to accurate are predictions?,"Predictions use time-series analysis on your assessment history. Accuracy improves with more historical data. Based on trend analysis, not absolute certainty.",prediction,0.85
How accurate are predictions,"Predictions use time-series analysis on your assessment history. Accuracy improves with more historical data. Based on trend analysis, not absolute certainty.",prediction,0.85
How does voice assessment work?,"Voice assessment uses speech recognition to collect psychological data. It asks 7 questions about depression, anxiety, stress, self-esteem, app usage, screen time, and age.",voice,0.94
How does voice evaluation work?,"Voice assessment uses speech recognition to collect psychological data. It asks 7 questions about depression, anxiety, stress, self-esteem, app usage, screen time, and age.",voice,0.94
How does voice test work?,"Voice assessment uses speech recognition to collect psychological data. It asks 7 questions about depression, anxiety, stress, self-esteem, app usage, screen time, and age.",voice,0.94
What is the best way to does voice assessment work?,"Voice assessment uses speech recognition to collect psychological data. It asks 7 questions about depression, anxiety, stress, self-esteem, app usage, screen time, and age.",voice,0.94
Can you explain how to does voice assessment work?,"Voice assessment uses speech recognition to collect psychological data. It asks 7 questions about depression, anxiety, stress, self-esteem, app usage, screen time, and age.",voice,0.94
How does voice assessment work,"Voice assessment uses speech recognition to collect psychological data. It asks 7 questions about depression, anxiety, stress, self-esteem, app usage, screen time, and age.",voice,0.94
Best apps for digital wellness?,"Recommended: Forest (focus), Moment (tracking), Headspace (meditation), Freedom (blocking), Space (balance), Sleep Cycle (sleep), Habitica (gamification).",apps,0.88
Best apps for digital wellness,"Recommended: Forest (focus), Moment (tracking), Headspace (meditation), Freedom (blocking), Space (balance), Sleep Cycle (sleep), Habitica (gamification).",apps,0.88
Tell me about best apps for digital wellness,"Recommended: Forest (focus), Moment (tracking), Headspace (meditation), Freedom (blocking), Space (balance), Sleep Cycle (sleep), Habitica (gamification).",apps,0.88
